trip_id,service_date,route_id,origin_stop_id,scheduled_departure,observed_departure,destination_stop_id,scheduled_arrival,observed_arrival,scheduled_departure_sec,observed_departure_sec,scheduled_arrival_sec,observed_arrival_sec,scheduled_travel_min,observed_travel_min,arrival_delay_min,departure_delay_min,travel_time_delta_min,source_month
BA:1842196:20260228,2026-02-27,BA:Yellow-N,901902,08:09:00,08:09:29,901302,08:19:00,08:20:29,29340,29369.0,29940,30029.0,10.0,11.0,1.4833333333333334,0.48333333333333334,1.0,2026-02
BA:1771591:20250831,2025-08-20,BA:Green-N,901901,10:14:00,10:15:07,901302,10:25:00,10:26:07,36840,36907.0,37500,37567.0,11.0,11.0,1.1166666666666667,1.1166666666666667,0.0,2025-08
BA:1682959:20250630,2025-06-17,BA:Green-N,901901,18:18:00,18:18:28,901302,18:28:00,18:29:28,65880,65908.0,66480,66568.0,10.0,11.0,1.4666666666666666,0.4666666666666667,1.0,2025-06
BA:1841957:20260531,2026-05-27,BA:Blue-N,901901,18:31:00,18:31:49,901302,18:42:00,18:42:49,66660,66709.0,67320,67369.0,11.0,11.0,0.8166666666666667,0.8166666666666667,0.0,2026-05
BA:1771595:20250930,2025-09-10,BA:Green-N,901901,11:34:00,11:35:07,901302,11:45:00,11:46:07,41640,41707.0,42300,42367.0,11.0,11.0,1.1166666666666667,1.1166666666666667,0.0,2025-09
BA:1771577:20250930,2025-09-04,BA:Green-N,901901,05:34:00,05:35:07,901302,05:45:00,05:46:07,20040,20107.0,20700,20767.0,11.0,11.0,1.1166666666666667,1.1166666666666667,0.0,2025-09
BA:1771578:20250930,2025-09-02,BA:Green-N,901901,05:54:00,05:55:07,901302,06:05:00,06:06:07,21240,21307.0,21900,21967.0,11.0,11.0,1.1166666666666667,1.1166666666666667,0.0,2025-09
BA:1771575:20250831,2025-08-22,BA:Green-N,901901,04:54:00,04:55:07,901302,05:05:00,05:06:07,17640,17707.0,18300,18367.0,11.0,11.0,1.1166666666666667,1.1166666666666667,0.0,2025-08
BA:1850335:20260527,2026-05-25,BA:Yellow-N,901902,13:29:00,13:29:29,901302,13:39:00,13:40:29,48540,48569.0,49140,49229.0,10.0,11.0,1.4833333333333334,0.48333333333333334,1.0,2026-05
BA:1771613:20250831,2025-08-19,BA:Green-N,901901,17:34:00,17:35:07,901302,17:45:00,17:46:07,63240,63307.0,63900,63967.0,11.0,11.0,1.1166666666666667,1.1166666666666667,0.0,2025-08
BA:1842206:20260430,2026-04-06,BA:Yellow-N,901902,11:29:00,11:29:29,901302,11:39:00,11:40:29,41340,41369.0,41940,42029.0,10.0,11.0,1.4833333333333334,0.48333333333333334,1.0,2026-04
BA:1842061:20260531,2026-05-27,BA:Green-N,901902,13:34:00,13:35:07,901302,13:45:00,13:46:07,48840,48907.0,49500,49567.0,11.0,11.0,1.1166666666666667,1.1166666666666667,0.0,2026-05
BA:1771781:20251216,2025-12-05,BA:Yellow-N,901902,24:08:00,24:08:53,901302,24:18:00,24:19:56,86880,86933.0,87480,87596.0,10.0,11.05,1.9333333333333333,0.8833333333333333,1.0500000000000007,2025-12
BA:1771817:20250831,2025-08-15,BA:Yellow-N,901902,14:59:00,14:59:59,901302,15:08:00,15:08:41,53940,53999.0,54480,54521.0,9.0,8.7,0.6833333333333333,0.9833333333333333,-0.3000000000000007,2025-08
BA:1842228:20260131,2026-01-15,BA:Yellow-N,901902,18:49:00,18:49:29,901302,18:59:00,19:00:29,67740,67769.0,68340,68429.0,10.0,11.0,1.4833333333333334,0.48333333333333334,1.0,2026-01
BA:1771577:20251018,2025-10-03,BA:Green-N,901901,05:34:00,05:35:41,901302,05:45:00,05:46:07,20040,20141.0,20700,20767.0,11.0,10.433333333333334,1.1166666666666667,1.6833333333333333,-0.5666666666666664,2025-10
BA:1682663:20250728,2025-07-02,BA:Yellow-N,901902,24:01:00,24:03:12,901302,24:12:00,24:14:42,86460,86592.0,87120,87282.0,11.0,11.5,2.7,2.2,0.5,2025-07
BA:1683730:20250630,2025-06-27,BA:Yellow-N,901902,10:15:00,10:16:11,901302,10:26:00,10:27:11,36900,36971.0,37560,37631.0,11.0,11.0,1.1833333333333333,1.1833333333333333,0.0,2025-06
BA:1771588:20250831,2025-08-19,BA:Green-N,901901,09:14:00,09:15:07,901302,09:25:00,09:26:07,33240,33307.0,33900,33967.0,11.0,11.0,1.1166666666666667,1.1166666666666667,0.0,2025-08
BA:1759840:20250930,2025-09-01,BA:Green-N,901901,13:14:00,13:15:07,901302,13:25:00,13:26:07,47640,47707.0,48300,48367.0,11.0,11.0,1.1166666666666667,1.1166666666666667,0.0,2025-09
